1683,11,1,10,122,23,105,53,86,8,91,25,240,82,TOP,202,BOTTOM,350,BOTTOM,157,MIDDLE,59,JUNGLE,126,TOP,11,TOP,21,BOTTOM,85,MIDDLE,117,BOTTOM
1974,11,1,89,238,82,25,81,119,86,53,19,38,133,BOTTOM,268,MIDDLE,150,TOP,16,BOTTOM,141,JUNGLE,17,JUNGLE,110,BOTTOM,4,MIDDLE,111,BOTTOM,59,JUNGLE
2197,11,1,53,35,84,86,22,84,555,86,53,157,7,MIDDLE,68,TOP,102,JUNGLE,81,BOTTOM,223,BOTTOM,25,BOTTOM,51,BOTTOM,131,JUNGLE,63,MIDDLE,112,TOP
2041,11,0,157,238,114,30,53,24,45,77,17,202,58,TOP,99,MIDDLE,64,JUNGLE,555,BOTTOM,4,BOTTOM,110,BOTTOM,412,BOTTOM,122,TOP,3,MIDDLE,121,JUNGLE
1614,11,1,238,86,53,24,157,28,141,35,67,238,516,TOP,25,BOTTOM,21,BOTTOM,115,MIDDLE,245,JUNGLE,82,JUNGLE,8,MIDDLE,51,BOTTOM,89,BOTTOM,77,JUNGLE
1537,11,1,555,90,122,106,84,119,238,350,86,111,267,BOTTOM,121,JUNGLE,145,BOTTOM,4,MIDDLE,10,TOP,55,MIDDLE,92,TOP,110,BOTTOM,201,BOTTOM,60,JUNGLE
1459,11,1,555,86,157,51,35,53,142,114,24,157,16,BOTTOM,85,TOP,25,MIDDLE,15,BOTTOM,17,JUNGLE,67,TOP,1,MIDDLE,76,JUNGLE,29,BOTTOM,37,BOTTOM
1311,11,1,51,86,122,25,107,63,86,141,36,122,497,MIDDLE,246,MIDDLE,498,MIDDLE,427,JUNGLE,23,JUNGLE,104,JUNGLE,24,TOP,99,BOTTOM,145,BOTTOM,142,MIDDLE
2733,11,1,35,157,122,517,111,25,266,35,11,7,103,MIDDLE,104,JUNGLE,21,BOTTOM,41,TOP,516,BOTTOM,412,BOTTOM,98,TOP,236,BOTTOM,76,JUNGLE,55,MIDDLE
1303,11,1,84,82,99,119,22,53,8,111,86,35,51,BOTTOM,266,TOP,497,BOTTOM,238,MIDDLE,33,BOTTOM,555,BOTTOM,18,BOTTOM,245,MIDDLE,23,TOP,141,JUNGLE
1685,11,1,82,53,104,8,245,114,23,157,25,84,99,BOTTOM,238,MIDDLE,202,BOTTOM,6,TOP,18,JUNGLE,81,BOTTOM,86,TOP,59,JUNGLE,55,MIDDLE,161,BOTTOM
2007,11,1,75,412,131,111,31,157,23,350,51,53,13,TOP,56,JUNGLE,238,MIDDLE,90,BOTTOM,555,BOTTOM,8,BOTTOM,28,JUNGLE,3,MIDDLE,126,TOP,37,BOTTOM
2094,11,1,119,7,114,82,0,74,350,25,86,150,40,BOTTOM,518,MIDDLE,64,JUNGLE,122,JUNGLE,145,BOTTOM,24,JUNGLE,84,MIDDLE,41,TOP,412,BOTTOM,22,BOTTOM
2132,11,0,53,22,74,35,122,17,81,133,64,90,68,MIDDLE,86,TOP,11,JUNGLE,25,BOTTOM,202,BOTTOM,99,BOTTOM,59,JUNGLE,84,MIDDLE,67,BOTTOM,82,TOP
1703,11,1,141,157,143,555,119,145,86,81,157,11,51,BOTTOM,75,TOP,25,BOTTOM,127,MIDDLE,54,JUNGLE,497,BOTTOM,42,MIDDLE,82,JUNGLE,21,BOTTOM,122,TOP
2321,11,0,107,23,24,157,0,82,89,53,92,245,164,TOP,145,BOTTOM,35,JUNGLE,412,MIDDLE,134,TOP,41,TOP,432,BOTTOM,67,BOTTOM,11,JUNGLE,238,MIDDLE
1609,11,1,58,63,555,81,142,25,555,0,24,157,238,MIDDLE,141,JUNGLE,350,BOTTOM,51,BOTTOM,82,TOP,236,BOTTOM,53,BOTTOM,254,TOP,60,JUNGLE,246,MIDDLE
1381,11,1,7,157,30,80,86,107,35,412,238,56,74,MIDDLE,60,JUNGLE,236,MIDDLE,121,MIDDLE,267,MIDDLE,145,BOTTOM,240,TOP,497,BOTTOM,136,MIDDLE,12,JUNGLE
1731,11,0,86,80,122,555,54,36,51,555,22,80,157,MIDDLE,59,JUNGLE,40,BOTTOM,119,BOTTOM,150,TOP,77,JUNGLE,222,BOTTOM,103,MIDDLE,24,TOP,412,BOTTOM
1769,11,1,54,35,38,25,51,106,555,145,141,10,80,JUNGLE,89,BOTTOM,67,BOTTOM,86,TOP,45,MIDDLE,85,MIDDLE,27,TOP,64,JUNGLE,63,BOTTOM,222,BOTTOM
1794,11,0,157,86,498,28,53,518,10,420,86,54,103,MIDDLE,114,TOP,22,BOTTOM,19,JUNGLE,201,BOTTOM,23,TOP,74,MIDDLE,145,BOTTOM,121,JUNGLE,25,BOTTOM
1888,11,1,157,13,122,121,53,25,35,157,86,555,222,BOTTOM,105,TOP,2,JUNGLE,117,BOTTOM,45,MIDDLE,67,BOTTOM,517,TOP,36,JUNGLE,412,BOTTOM,245,MIDDLE
1495,11,0,122,58,22,238,266,25,22,53,35,134,18,BOTTOM,20,JUNGLE,157,MIDDLE,143,BOTTOM,114,TOP,555,BOTTOM,10,TOP,517,MIDDLE,145,BOTTOM,246,JUNGLE
1237,11,0,8,114,157,35,498,58,25,157,45,245,555,BOTTOM,236,MIDDLE,86,TOP,22,BOTTOM,203,JUNGLE,92,TOP,96,BOTTOM,117,BOTTOM,99,MIDDLE,59,JUNGLE
1383,11,0,20,142,240,555,157,99,24,86,157,22,39,TOP,412,BOTTOM,254,JUNGLE,103,MIDDLE,145,BOTTOM,17,TOP,119,BOTTOM,98,BOTTOM,19,JUNGLE,245,MIDDLE
1480,11,0,157,55,13,420,53,35,80,53,112,22,141,JUNGLE,143,BOTTOM,75,TOP,45,MIDDLE,21,BOTTOM,202,BOTTOM,131,MIDDLE,24,TOP,64,JUNGLE,412,BOTTOM
1834,11,1,145,80,63,157,67,53,35,201,141,86,76,JUNGLE,122,TOP,81,BOTTOM,69,TOP,111,BOTTOM,254,JUNGLE,150,TOP,13,MIDDLE,99,BOTTOM,222,BOTTOM
1835,11,1,25,122,35,145,555,245,412,8,90,10,107,TOP,157,MIDDLE,64,JUNGLE,53,BOTTOM,18,BOTTOM,12,BOTTOM,86,TOP,246,JUNGLE,142,MIDDLE,498,BOTTOM
1897,11,0,11,91,32,266,35,164,134,120,7,51,84,TOP,36,JUNGLE,18,BOTTOM,45,BOTTOM,238,MIDDLE,89,TOP,112,MIDDLE,9,JUNGLE,202,TOP,6,TOP
1917,11,1,122,22,28,53,164,80,143,157,121,24,18,TOP,134,BOTTOM,84,MIDDLE,9,MIDDLE,120,JUNGLE,8,TOP,25,BOTTOM,42,MIDDLE,145,BOTTOM,113,JUNGLE
1528,11,1,120,51,555,11,53,122,105,222,99,555,63,BOTTOM,498,BOTTOM,420,JUNGLE,8,MIDDLE,23,JUNGLE,98,MIDDLE,254,JUNGLE,110,BOTTOM,101,MIDDLE,21,BOTTOM
1727,11,1,54,25,53,75,27,58,245,555,119,77,82,JUNGLE,238,MIDDLE,28,JUNGLE,89,BOTTOM,145,BOTTOM,222,BOTTOM,201,BOTTOM,141,JUNGLE,157,MIDDLE,78,TOP
1327,11,1,24,111,53,17,157,53,10,86,7,11,202,BOTTOM,117,BOTTOM,45,MIDDLE,77,JUNGLE,92,TOP,35,MIDDLE,267,BOTTOM,67,TOP,120,JUNGLE,22,BOTTOM
1382,11,0,35,24,7,53,50,350,266,33,53,8,22,BOTTOM,16,BOTTOM,39,TOP,64,JUNGLE,268,MIDDLE,10,TOP,79,JUNGLE,222,BOTTOM,117,BOTTOM,245,MIDDLE
1219,11,0,90,99,24,157,145,22,31,89,63,80,21,BOTTOM,17,TOP,7,MIDDLE,19,JUNGLE,40,BOTTOM,81,BOTTOM,268,MIDDLE,67,TOP,79,JUNGLE,117,BOTTOM
